accepted_idx	post_warmup_idx	logp	nu_0	nu_1	nu_2	nu_3	nu_4	nu_5	nu_6	nu_7	nu_8	nu_9	nu_10	nu_11	nu_12	nu_13	nu_14	nu_15	nu_16	nu_17	nu_18	nu_19	nu_20	nu_21	nu_22	nu_23	nu_24	nu_25	nu_26	nu_27	nu_28	nu_29	nu_30	nu_31	nu_32	nu_33	nu_34	nu_35	nu_36	nu_37	nu_38	nu_39	nu_40	nu_41	nu_42	nu_43	nu_44	nu_45	nu_46	nu_47	nu_48	nu_49
1	9	-423.3642425933	4.1076835095	-3.9936079757	-3.5514029222	-0.0904487261	0.3316783522	2.5102422169	1.7569477081	0.4443725753	-0.3914974257	0.5739792366	-2.2130012796	-0.8054858010	0.1395702943	0.1740316499	-0.0499373194	2.9440455786	2.2934289271	1.3171664672	0.6891770892	-1.4412473757	1.0641723402	-0.8287993088	-1.7812084725	-1.0407445735	0.9852312518	-1.1259820644	-0.2762446756	1.3056477538	0.7731574411	1.7674084922	-1.3206039550	-0.5539437215	0.0995285851	1.8461514915	0.1005563239	-0.1533719025	-1.1241599438	0.3148171152	0.3860411132	1.1739417039	-0.2932722437	0.5954074357	-1.4304815049	0.0195442658	-1.7711252169	0.3601183779	-1.4245234185	0.3845680855	-0.4047503746	-0.4904410390
2	10	-425.0817027835	4.2293498410	-4.0255467740	-3.6187428010	-0.3268201322	-0.2067155370	2.3792170622	1.7354746147	0.4553722261	-0.4509129241	0.4560548967	-2.2223618376	-0.5291685297	0.1421769505	0.4020307651	-0.0942261188	2.8695913742	2.4917440051	0.9497150199	0.9007155552	-1.2531268681	1.3993371557	-0.9133558443	-1.8896727940	-1.7088366021	0.8598483614	-1.3651701718	-0.0333979488	1.2980226524	0.9814908038	1.6995188602	-1.2904272947	-0.7781787029	0.0916994877	1.7977569742	0.1554243911	-0.3381720466	-1.2178894606	0.2451511555	0.7784743809	1.2495076019	-0.2223289309	0.6614512706	-1.3629373852	-0.1952297740	-1.9322317897	0.6497494229	-1.5448629073	0.6370099299	-0.6554901992	-0.4448975022
3	12	-426.1042321406	4.2782543540	-3.8691874968	-3.4874996726	-0.4387737923	-0.2331296632	2.6333225457	1.7118875752	0.4250888270	-0.4819683070	0.4537788926	-2.5179550153	-0.4905695059	-0.0643281660	0.4754092340	-0.0086916002	3.0357845604	2.3660203566	0.6753494082	0.4443111358	-1.2877094246	1.3397818104	-1.2757354863	-1.9165957418	-1.8457247002	1.1240873084	-1.1651768825	-0.2064271287	1.3411443874	1.1965572211	1.3488389664	-1.3053104795	-0.4895886330	0.3305170886	2.0384697645	0.0997812160	-0.4064660350	-1.3907328066	0.2052602665	0.3770560459	1.0404525638	-0.2352795629	0.5815491357	-1.2148758341	-0.2707508706	-1.9037545756	0.7377927220	-1.6573269818	0.9977759280	-0.6382618272	-0.2682437813
4	13	-426.5652648257	4.0852838301	-3.8613609836	-3.4750259752	-0.1868732604	-0.3043065505	2.5040300547	1.6597290216	0.2298466517	-0.3496629602	0.3901692911	-2.3530944064	-0.6166944674	-0.1647324809	0.6414128910	0.1461484891	3.2922723761	2.8296922922	0.8458107981	0.2478837916	-1.3962926827	0.9803910086	-1.5475187041	-1.7462710732	-1.3950514635	1.2173715305	-1.0514463466	-0.1250721372	1.2804066897	1.4961367900	1.5510764466	-1.1478596555	-0.5035339273	0.5343222085	2.0475790857	-0.0099941925	-0.7480543894	-1.2106336011	0.4758812864	0.4041558858	1.2535032136	-0.3957136057	0.6353872266	-1.2026415599	-0.2771478553	-1.9331159545	0.8868642479	-1.4872585634	1.1037796516	-0.6091183922	-0.6229329682
5	15	-428.3434418854	4.0108343522	-3.9720460419	-3.5114532253	-0.1092094671	-0.0514215208	2.6424821380	1.3653966750	-0.0077074861	-0.0007339073	0.3210279080	-2.7454980404	-0.7352050829	-0.0237407337	0.5373980287	0.5070481910	3.7282953420	2.7687659852	0.7921777612	0.0915498474	-1.2686324739	1.2575624163	-1.1862240336	-1.6704337914	-1.1370241431	0.9687157550	-0.8994390457	0.2574369019	1.3430509759	1.4979485496	1.2946140766	-1.1773486668	-0.5604894189	0.1432540739	2.1509999076	-0.0208032670	-0.7431698277	-1.1337116091	0.5708462873	0.4759185089	0.9979165847	-0.7415980770	0.7327042936	-1.2111617909	-0.3811738871	-1.9263353849	0.8546435446	-1.9444094347	0.9460650533	-0.5564992836	-0.6734178586
6	16	-427.1991711117	4.1600592233	-4.2889121872	-3.4791962051	-0.0542141925	-0.3453990082	2.4744765111	1.3946734947	-0.1390126914	0.0808690530	0.3628505479	-2.6016178910	-0.8956109600	0.1315674082	0.5786219612	0.1415958220	4.0754490044	2.6069178404	0.8816204323	0.3535684725	-1.0809092225	0.8543836703	-1.1244287056	-1.8064333726	-1.2751300752	1.1678457003	-0.7549986175	0.0180733906	1.4349222985	1.5631412580	0.8584557743	-1.2173986327	-0.5772961869	0.1691445951	2.2078069294	0.0352627730	-0.3409793224	-1.3949778345	0.3318882181	0.3876567025	1.0265087751	-0.3242156158	0.7933163167	-1.0880146912	-0.4683176960	-2.0597092860	0.5522208259	-2.0972711938	0.9998493618	-0.6214028065	-0.7676345978
7	20	-427.3192510581	4.0553840075	-4.4105878296	-3.3038170510	-0.0563489034	-0.1989447456	2.8484579911	1.4164373709	-0.5586611750	0.3776856044	0.4598915842	-2.5156607641	-0.6643169900	0.5385404885	0.2886327821	0.3885879446	4.0014722118	2.6996299140	0.9771440888	0.2356493252	-0.5516881326	0.9879470409	-0.9108290376	-1.9027444465	-1.2141911704	1.3568242930	-0.7507224171	0.2430821764	1.7000889469	1.3725147339	0.8600141123	-1.2076521369	-0.1769265032	0.2353756263	2.0529621933	0.2679917340	-0.5394148377	-1.2979507207	-0.1237873666	0.1607277724	0.8731832513	-0.4354916760	0.6271784210	-1.0922688204	-0.7246444751	-2.1796006732	0.4923404390	-1.9457899922	0.9900999809	-0.8751230450	-0.5885847324
8	24	-426.8764718634	4.0201343879	-4.4014344913	-3.3370865896	0.0474455036	-0.1111418824	2.5171345606	1.5073535205	-0.4123189513	0.2410202098	0.4653626707	-2.3943596615	-0.7521087375	0.3560731499	0.0689846750	0.2170549148	3.8900164068	2.5081472205	1.2906420201	0.1567260393	-0.6322099729	0.9505351008	-0.9502909630	-1.7226745331	-1.3992414446	1.2301907543	-0.8594378486	0.1717321428	1.5472650019	1.3506789890	1.0803897156	-1.0703351347	-0.5757155065	0.6818619124	1.9892349279	-0.0591043874	-0.5330844411	-1.3223694784	0.0771517585	0.0404470978	0.5680727181	-0.4230043195	0.5474273883	-0.9753876046	-0.6613124932	-2.6086143013	0.4280688357	-2.0717558380	1.0671045348	-0.9218638847	-0.6776581701
9	25	-425.1671281601	3.9586114591	-4.2836481470	-3.3375493531	0.1440945569	-0.1079695654	2.3403621150	1.4382397475	-0.0390333604	0.1091481117	0.7280428057	-2.3253811488	-0.9333505405	0.6561702376	0.0596730510	0.1679613654	3.7336870323	2.2182902410	1.0451683720	0.1141037799	-0.5892077130	1.0672540982	-0.6976887739	-1.3467740424	-1.4959922283	1.1344550756	-0.7180540939	-0.0572024543	1.6499370518	1.2304878152	0.8039922714	-0.9823461623	-0.3565415939	0.5244114475	2.0528656562	0.0571874051	-0.5075586188	-1.0178480562	0.0942011434	0.0962288662	0.6681029002	-0.6453673800	0.6533724789	-1.2601101334	-0.8135571217	-2.5895237837	0.5983236170	-1.9034843318	1.0728246838	-1.1020283467	-1.0345350748
10	26	-424.8657325578	4.0360666266	-4.2158988885	-3.3445294249	0.0585218559	-0.1424500444	2.1577934832	1.4903873215	0.0317442698	0.1299209588	0.5689191632	-1.8252710508	-0.8522271103	0.4884376263	0.3736797584	0.2848285237	3.5368377667	2.1436931756	0.9550511610	0.0974472500	-0.6859060613	1.1455644043	-0.5992742956	-1.4255129722	-1.4557361165	1.4092207365	-0.4520515122	-0.2940355841	1.4647844474	0.9362042012	0.8873411488	-1.3221431249	-0.5287318999	0.7335349736	2.0460165563	0.0745192026	-0.5733687269	-1.2135185190	0.1897060005	-0.0822360239	0.6466314523	-0.7650249737	0.5061281830	-0.9931166326	-1.0313488466	-2.4424175563	0.5161853752	-1.9642743901	1.1181247168	-1.3915361930	-0.9036316981
