accepted_idx	post_warmup_idx	logp	nu_0	nu_1	nu_2	nu_3	nu_4	nu_5	nu_6	nu_7	nu_8	nu_9	nu_10	nu_11	nu_12	nu_13	nu_14	nu_15	nu_16	nu_17	nu_18	nu_19	nu_20	nu_21	nu_22	nu_23	nu_24	nu_25	nu_26	nu_27	nu_28	nu_29	nu_30	nu_31	nu_32	nu_33	nu_34	nu_35	nu_36	nu_37	nu_38	nu_39	nu_40	nu_41	nu_42	nu_43	nu_44	nu_45	nu_46	nu_47	nu_48	nu_49
1	2	-433.9707628732	3.5168402388	-3.4993424066	-4.1217629511	0.4107468033	3.1087889214	-0.3386983416	0.6592274075	-1.6529780073	2.7805335264	-0.2738616093	0.7272664350	0.3387833560	-0.1593940938	0.5275003953	-1.1859427952	-0.0939030135	1.0642509059	1.1830268826	1.3861457452	2.2844526066	-0.0291505303	-2.1711743051	0.0499935212	0.9064007348	1.2078607574	-1.1274150995	1.2470542973	1.3862635750	0.1144975597	2.6832990337	-1.6014887308	-0.3727140351	-0.5124076672	1.0895030697	-2.4323091269	-0.8037299819	-2.8930094937	0.1212096454	0.9553645266	2.0907157936	0.4688486047	1.0231410522	-1.4811705063	0.9176524115	0.0285063810	-1.1163447303	-1.1092236184	-0.4528983266	-0.2120545471	0.8130166755
2	9	-433.4642238248	3.5191487355	-3.4538122145	-4.0727842905	0.5402799365	3.1079892501	-0.3847725241	0.6595009649	-1.5906975295	2.9762740669	-0.3817821195	0.8421460777	0.2634947262	0.0409657059	0.8312003911	-1.2373505993	0.1180849566	1.2944264200	1.0176538598	1.4157975741	2.2868617475	0.0267095433	-1.9742703463	0.1318234827	0.8346789753	1.1961549331	-1.1111554727	1.1615982007	1.5603187082	0.1287979806	2.5623854576	-1.6335991571	-0.3908448118	-0.5147673350	1.1573177466	-2.1946539628	-0.6086674780	-3.0537174283	0.1793389587	0.8488315400	2.0786829696	0.4413298321	0.5432990536	-1.1082928116	0.9435631057	0.1253087555	-1.0681543861	-1.1995606320	-0.4025194993	-0.5279315892	0.9642355145
3	10	-433.7658258702	3.6395984037	-3.4854316248	-4.1394507706	0.3062722444	2.5749792998	-0.5144874272	0.6382426024	-1.5798078752	2.9174527235	-0.4985272160	0.8328791253	0.5370488248	0.0435462955	1.0569195152	-1.2811965107	0.0443752943	1.4907583472	0.6538769269	1.6252206555	2.4731010501	0.3585227107	-2.0579813164	0.0244438044	0.1732678670	1.0720258716	-1.3479516990	1.4020164603	1.5527698579	0.3350480097	2.4951747219	-1.6037242634	-0.6128374434	-0.5225181413	1.1094071744	-2.1403345763	-0.7916196207	-3.1465096499	0.1103696587	1.2373404751	2.1534932087	0.5115637117	0.6086824501	-1.0414241332	0.7309368063	-0.0341867515	-0.7814196515	-1.3186967258	-0.1526020734	-0.7761640155	1.0093236160
4	12	-431.3045072851	3.6880138715	-3.3306359404	-4.0095200734	0.1954381209	2.5488293148	-0.2629229986	0.6148914334	-1.6097884403	2.8867078944	-0.5007804600	0.5402418793	0.5752618584	-0.1608937698	1.1295641995	-1.1965173372	0.2089065486	1.3662919353	0.3822549714	1.1733802803	2.4388643191	0.2995629189	-2.4167371620	-0.0022099139	0.0377486499	1.3336224292	-1.1499583426	1.2307175722	1.5954603755	0.5479637628	2.1480016270	-1.6184586163	-0.3271332742	-0.2860887165	1.3477128369	-2.1954213196	-0.8592306692	-3.3176245625	0.0708776786	0.8399363234	1.9465287210	0.4987425861	0.5295793366	-0.8948431976	0.6561709207	-0.0059943096	-0.6942567854	-1.4300361597	0.2045562648	-0.7591079272	1.1842107996
5	15	-432.5956520035	3.6143088884	-3.4402141480	-4.0455830511	0.2723252763	2.7991854942	-0.1258554361	0.3235024103	-1.8449670367	3.2321476568	-0.5692304293	0.1517622817	0.4579363490	-0.0213119400	1.0265894857	-0.8392266325	0.6405692848	1.3059748913	0.3291582649	1.0186096756	2.5652479258	0.5739626126	-2.0590554383	0.0728689951	0.2931956971	1.0874532114	-0.9994711148	1.6094015209	1.6574782188	0.5497574049	1.8941038807	-1.6476527375	-0.3835192109	-0.6732461697	1.4500994505	-2.2061223033	-0.8543949532	-3.2414717904	0.1648930295	0.9109813202	1.6934979583	0.1563169595	0.6259232329	-0.9032782263	0.5531851493	0.0007184544	-0.7261552816	-1.8826155223	0.0484188124	-0.7070150098	1.1342307582
6	16	-431.9361098085	3.7620415108	-3.7539116319	-4.0136486010	0.3267705981	2.5081477817	-0.2921810067	0.3524864618	-1.9749591900	3.3129345875	-0.5278260158	0.2942036296	0.2991345308	0.1324431205	1.0674011789	-1.2010244778	0.9842514106	1.1457452280	0.4177065093	1.2780081144	2.7510939447	0.1748156540	-1.9978780635	-0.0617705903	0.1564708244	1.2845918572	-0.8564750908	1.3724316447	1.7484308283	0.6142981862	1.4623071614	-1.6873022038	-0.4001579112	-0.6476145538	1.5063384021	-2.1506169238	-0.4562263529	-3.5001253535	-0.0716754590	0.8236021320	1.7218042268	0.5695255962	0.6859291357	-0.7813625975	0.4669127785	-0.1313217077	-1.0255537732	-2.0339486638	0.1016652778	-0.7712694974	1.0409561864
7	24	-432.7532878544	3.7271443873	-3.7448498270	-4.0465854443	0.4295270610	2.5950726163	-0.6201912030	0.4424934499	-1.8300803885	3.1776358468	-0.5224096402	0.4142917211	0.2122207007	-0.0481995447	0.8499495529	-1.3708421773	0.8739101636	0.9561773613	0.7280694613	1.1998740614	2.6713773229	0.1377778334	-2.0369453696	0.1164986240	-0.0267289471	1.1592246539	-0.9641033680	1.3017951114	1.5971351227	0.5926807988	1.6804790086	-1.5513583716	-0.7949590244	-0.2055931305	1.4432484093	-2.4744420839	-0.4499592603	-3.5242999237	0.1272542749	0.7045242641	1.4197447991	0.5818880791	0.6069756134	-0.6656501939	0.5296114405	-0.5560451995	-1.0891826604	-2.1586548511	0.1778997862	-0.8175429288	0.9527734830
8	25	-430.0842461968	3.6662366879	-3.6282413462	-4.0470435802	0.5252096238	2.5982132101	-0.7951959241	0.3740708146	-1.4605276535	3.0470824697	-0.2623563065	0.4825804487	0.0327913158	0.2488965720	0.8407310452	-1.4194447912	0.7191440828	0.6692189517	0.4850505497	1.1576780245	2.7139495602	0.2533296408	-1.7868692024	0.4886401098	-0.1225122229	1.0644463320	-0.8241334508	1.0751498603	1.6987804521	0.4736915367	1.4068455389	-1.4642492889	-0.5779768509	-0.3614690908	1.5062428304	-2.3593132094	-0.4246886962	-3.2228237156	0.1441331659	0.7597482148	1.5187746792	0.3617486492	0.7118612531	-0.9475254974	0.3788892583	-0.5371455871	-0.9206304269	-1.9920660600	0.1835627337	-0.9959057461	0.5994653475
9	28	-430.1393971406	3.6543030394	-3.5185003523	-3.9804743818	0.6061481157	2.5850043526	-0.6879643096	0.4121834301	-1.4689937904	3.0459301057	-0.3994181593	0.4506621050	0.2945079977	0.4587100700	0.8879456635	-1.6141676377	0.5818851083	0.7777726374	0.5656767699	1.0706122110	2.9926073247	0.2857427158	-1.9447171091	0.3915126764	-0.2197505630	1.2774314683	-1.1849443502	1.0350313362	1.5043006881	0.2760379544	1.2992495058	-1.4286418825	-0.2698947984	-0.1294335602	1.5781961316	-2.4723202539	-0.3430046831	-3.1597834746	0.0654262336	0.6662035551	1.6452691167	0.1969463933	0.6018122050	-1.0496892291	0.6205948362	-0.6162085716	-1.3295198547	-2.2220200529	0.3295250973	-1.0475453774	0.5574237536
10	32	-430.0496509765	3.8242831984	-3.6172872658	-4.0581939783	0.7515696413	2.3108937672	-0.4665933058	0.5987585241	-1.2593117884	3.1464088576	-0.2851423830	-0.0878873505	0.8753428406	0.7519920143	0.8362535688	-1.6758856799	0.5424882993	0.7628234893	0.6934222935	1.2635960252	2.9994449752	0.0376151757	-1.8764771382	0.3599985894	0.1214960653	1.4316859779	-1.2098191559	0.7870637321	1.4847622644	0.2132096052	1.1083983042	-1.0298814292	-0.3173156264	-0.2271706646	1.2292454059	-2.6373698527	-0.1652487676	-3.0998819664	-0.2927861358	0.7587126955	1.5812892942	0.3110049089	0.5048616251	-1.0983174411	0.3595035346	-0.7495693607	-1.7501641955	-1.9527718527	0.1123119055	-1.2544227781	0.6999952318
11	36	-430.5930902384	3.6073555694	-3.6851047985	-4.0781116563	0.9050688328	2.3494935270	-0.4196757448	0.7431760587	-1.4521917907	3.0394009772	-0.2255114196	-0.2020619704	0.9234233817	0.5792873961	0.9033761005	-1.6624933257	0.3725223010	0.6965954619	0.6266950642	1.3922241010	2.7538865468	-0.1050953252	-2.1528019705	0.4439509335	0.3405080098	1.3825460368	-0.9854327966	0.7796932877	1.0960686393	0.2796748330	1.2973324617	-0.8254584816	-0.5875919239	-0.1503591213	1.3885846663	-2.9727749274	-0.2836170373	-2.9052234078	-0.0433192153	0.7885249227	1.5279604044	0.4406219890	0.5331666837	-1.2531211569	0.7890976840	-0.6537269547	-1.6927922079	-2.3243411816	-0.1259741779	-1.4374106691	0.3674162279
12	39	-431.0661134821	3.5445898768	-3.7839989650	-4.1184135459	0.6978228361	2.2171489950	-0.3880006321	0.7869144999	-1.3726638618	2.9952801291	-0.6925118371	0.0608188786	0.7240092155	0.6576004148	0.4511267237	-1.5883196453	0.3715339428	0.9708116565	0.7028130003	1.5785052668	2.7594769590	-0.4081624221	-2.1770819292	0.7323949241	0.0585534002	1.1049954315	-0.8020733395	1.0549744358	1.1439557606	0.1633814147	1.5193416329	-0.4691129110	-0.6631491535	-0.3175988215	1.5521344020	-2.9635695882	-0.2758966679	-3.0416473947	-0.2556151077	0.8889276007	1.4448485229	0.1517189745	0.2572043343	-1.3441786721	0.5268499163	-0.6243523207	-1.8578061174	-2.2242093288	-0.1168271981	-1.2985822814	0.1053755191
13	46	-428.9446466450	3.5532146891	-3.5526646440	-4.0998033363	0.9213330119	2.1993572007	-0.3278712176	0.9960697005	-1.4295676633	2.9751772773	-0.6465463916	0.1479871478	0.5969062509	0.7387561441	0.6655554898	-1.2084629844	0.7626715197	0.9971147621	0.5217583422	1.2325195578	2.4361266610	-0.5532695762	-2.0255205873	0.3323103089	-0.0730036839	0.9449184069	-0.6169353978	0.9511532584	1.2447618259	0.2413893110	1.2752103848	-0.6097593315	-0.9186127094	-0.0916079059	1.3788296814	-3.3559308512	-0.8037850539	-2.7441502370	-0.3612626256	0.9215889037	1.2090631064	-0.0574683789	0.4447936528	-1.2274210203	0.5707795932	-0.2602128771	-1.6239327550	-1.8878635114	-0.2691761974	-1.3678744391	0.3157588951
14	47	-431.8179915945	3.4341101840	-3.6063559884	-3.7087216500	0.8369689063	2.4078838497	-0.2838700623	0.6596041765	-1.5050166294	2.8847073449	-0.4580366951	0.1051241841	0.7132686868	0.9769861741	0.6307172467	-1.0135144075	0.8065327614	1.2049071384	0.6330968754	1.1663425612	2.7046718897	0.0796685742	-2.0916356510	0.2090348398	-0.0979108851	1.1456608116	-0.6892219286	0.8614675628	1.0394459297	0.2632122680	1.4859441570	-0.7217739573	-1.1741816418	0.0921095432	1.3407192962	-3.3146490453	-1.0400843733	-2.7189949540	-0.3670341832	1.1251135030	1.2761975145	0.0387520113	0.4206441315	-1.0903296428	0.6912820198	-0.5251668156	-1.6254509255	-2.1282408079	-0.1990003483	-1.4207096993	-0.0379129692
15	48	-430.3755130621	3.6105808701	-3.3763834607	-3.9129088394	0.4561115997	2.1627786971	-0.4284644892	0.6984801644	-1.4857234159	2.5113877320	-0.4604579008	0.0459664075	1.0961415890	0.9464806450	0.7084682165	-1.2332090287	0.6728555856	1.3214291367	0.6084147306	1.3591585601	2.6271767597	0.3217191450	-2.0360288865	0.3687538288	0.0126253535	0.9426282779	-0.7446239839	0.7005686620	0.6546927709	0.2308914268	1.2361811075	-1.0139470829	-0.9325059643	0.2758687130	1.3620934947	-3.5283561073	-1.0975984539	-2.9270993613	-0.0633609552	1.1335417073	1.0825688156	-0.1171937578	0.2264997622	-1.2030013665	0.5465407665	-0.6537749238	-1.8462560148	-1.8693600999	-0.4436091327	-1.5990450590	-0.1040678173
16	53	-429.8917420043	4.0080996647	-3.6658699975	-4.0470704941	0.3620071330	2.0224388036	-0.4582802345	0.5873667908	-1.4485040603	2.2458023159	-0.2834996457	0.1552237542	0.9086258328	0.7770892447	0.7950880695	-1.4604639699	0.5281336622	1.4266828370	0.5647714214	1.1076822353	2.0949464623	0.5449130001	-1.8978871097	0.5554806630	0.1683465983	0.9017761754	-0.5618470757	0.7751299838	0.8220243908	0.2113934325	1.2851383874	-0.7496578543	-0.9339174773	0.3009091169	1.4900585265	-3.5262531032	-1.1626813887	-2.8194020059	0.0179150859	1.1598762603	1.2132449580	0.2138122435	0.0906935296	-0.9876932902	0.1526167568	-0.7897500397	-2.1932864420	-2.0847947471	-1.0305577208	-1.6370180249	0.2106252926
17	56	-428.2627188541	4.0203743295	-4.0153452399	-4.0211822401	0.4152468052	1.9667489932	-0.6100295258	0.5204700680	-1.9651949992	2.5504920140	-0.5366768114	0.0504633146	1.2011870644	1.0703445953	0.8030525351	-1.2387708202	0.8367373848	1.6023649790	0.5961124063	1.1386760728	1.9041268177	0.7813655986	-1.5044931505	0.6551346728	0.2291598467	1.0712392593	-0.5392996441	0.9060003581	0.5877229130	0.1772537721	1.5009461193	-0.6977625761	-0.8942981309	0.7245222787	1.6527047350	-3.2834698042	-0.8195480870	-3.0155669012	0.3162502522	1.0654040406	1.3636994085	0.4015865388	0.2706585787	-0.8270891121	0.3863987465	-1.0026701439	-2.3343209074	-1.8793179048	-0.7416040314	-1.4043130068	0.1784564302
18	57	-427.7220475377	4.0193870009	-4.1352754854	-4.1229865726	0.5276453095	2.2302905172	-0.4908746426	0.7715844227	-2.1434834278	2.5023357709	-0.5135087723	0.0914977061	1.0852570730	0.8979716646	1.0996147860	-1.2410617611	0.7306092694	1.4188093176	0.5784126062	1.3008192870	1.8722518972	0.6627550504	-1.5928819606	0.8761424520	0.4333852731	0.8513912599	-0.4024464952	0.7524553547	0.2672258171	0.0611110261	1.5475291654	-0.5884458489	-0.7380387920	0.9334212232	1.6774070361	-3.3122564020	-0.5713912153	-2.8995394624	0.0961039423	1.1574334198	1.3735838582	0.5191903218	0.0684735871	-0.6738278126	0.5372951070	-1.3399633515	-2.5546301904	-1.6828858369	-0.7443976528	-1.4635881251	0.2196332466
19	58	-428.5095356317	3.6093456154	-4.0055747970	-3.9497299089	0.4656442038	2.1833276016	-0.6232479941	0.6949986170	-2.2445513807	2.4376999830	-0.2783703933	0.2299217884	1.2497673337	0.8857484285	1.2286126855	-1.0206570896	0.6726830877	1.1260042008	0.4664066719	1.1684183991	1.9083744816	0.7178441059	-1.3761442129	1.0038749528	0.5458786800	0.7936103216	-0.4117598147	0.5186160518	-0.0548318210	0.0835958329	1.5680692103	-0.4941560723	-0.7353478400	0.8549458236	1.8040188774	-3.5097753493	-0.4922219924	-3.0109725245	0.1675431392	1.2524368132	1.0560676412	0.8558329369	0.2692427503	-0.7813148167	0.3636513923	-1.3157621573	-2.7731200013	-1.7348618744	-0.6332279130	-1.5416422133	-0.1769985408
20	59	-428.0787267861	3.5138031205	-4.0206664838	-4.1360957086	0.6771206865	2.2537187680	-0.4769038694	0.7854694570	-2.0922226680	2.3626274279	-0.3111567791	-0.0412741976	1.3670681083	1.0069805554	1.3071941536	-1.2317644506	0.9824252668	1.2537801596	0.2669272557	1.2654045411	1.6747944099	0.7232346469	-1.3994656779	1.0256674583	0.3672493381	1.0342074702	-0.0939464161	0.2768340792	-0.0620493185	0.0463623949	1.5435042778	-0.3365027118	-0.6612013760	0.5481683891	1.8069526098	-3.4179112702	-0.4237674497	-3.1055805060	0.0392298199	1.3769653773	1.1570668889	0.7512730639	-0.0011742265	-0.8443950418	0.3108379033	-1.1992602026	-2.4167652866	-1.7125009220	-0.7130260318	-1.2945621132	-0.0967668481
21	61	-430.4564746558	3.6212449161	-3.6181479474	-4.1219377885	0.5505046566	2.2886454318	-0.3733842579	0.6544220100	-1.7060822197	2.2433994026	-0.3276676317	0.1232209833	1.3491178027	0.9291989439	1.2295823607	-1.2602000017	1.0614115626	1.4171804970	0.4425999512	1.1922109088	1.9278733572	0.9196347279	-1.3554618788	0.7023409945	0.3691898990	1.2414189072	-0.2115556622	0.1688911168	-0.2626409371	0.0936431627	1.6651450835	-0.3441299942	-0.6308813651	0.2115978666	2.1690880858	-3.4010163271	-0.2873256898	-3.1832092282	0.1224917439	1.2977554599	1.2674182184	0.5841140892	-0.1347086796	-0.8979657270	0.8346276775	-1.1228840456	-2.3255755674	-1.7831885845	-0.5877057642	-1.6923961865	0.0129116125
22	64	-429.3257120965	3.6852722040	-3.4764894933	-4.1289692354	0.6829585071	2.5409524495	-0.3444112732	0.8010071609	-1.8872251237	2.0205698441	-0.4226855568	0.1623991929	1.4492727561	1.0015415595	1.0125485063	-1.2069037000	0.9220924232	1.5722522020	0.2210226774	1.1082704535	2.0643129291	0.9750841748	-1.4503887560	0.5262285358	0.2628932928	1.3169791177	-0.3724440849	0.0846093043	-0.3862872558	-0.1043337835	1.7735764735	-0.2230459621	-0.4961870577	0.0053143329	2.0112517836	-3.3308992040	-0.2204118494	-3.1991916716	0.1682353211	0.9927276355	0.8568760602	0.6821022579	-0.4271765908	-1.0147283824	0.5927598939	-0.8569629156	-2.1537596291	-2.0732444949	-0.5807666960	-1.4573296015	0.0418790634
23	66	-429.5844153311	4.0527926317	-3.8523829755	-4.2655651837	0.4926730564	2.6983999189	-0.2492696432	0.7977165174	-1.6493409786	1.9868726796	-0.3783352770	0.4545023129	1.3490325131	1.1714582177	1.0462862893	-1.3069583049	1.2447544465	1.4800911773	0.1544942872	0.9036111794	1.9791888665	0.5156805414	-1.9555210678	0.2280350385	0.2050901517	1.2059862326	-0.4237009814	-0.2098033870	-0.8806948122	-0.7153307661	1.8563283886	-0.4600066341	-0.6868218071	-0.0854197944	2.0263790267	-3.4067287330	-0.0862159097	-2.8923270236	0.3406387756	1.1848242247	1.2948286478	0.5692428192	-0.1632736258	-0.7992355701	0.5767790166	-1.1150543741	-2.0459811354	-2.1127003203	-0.6061620422	-1.2905389358	0.0483821083
24	67	-428.6237275287	3.4952736651	-3.9866433829	-4.4237119283	0.2804820068	2.6422432283	0.0231834531	1.0205517064	-1.7114215671	2.0941491326	-0.5778260489	0.5199023846	1.1670898976	1.0368584472	1.2730934947	-1.0374880587	1.5427094515	1.4755595414	-0.0361148308	0.4635406562	1.9474214517	0.8483869701	-1.6868752206	0.1013133174	0.2930932101	1.3000749108	-0.4362346653	-0.0799221574	-0.9844271456	-0.9183882395	1.4357799806	-0.3976271878	-0.7573876439	0.0582322178	2.0222105436	-3.3054461371	-0.1071852058	-2.6443220881	0.3210293265	0.8809436775	1.2862551149	0.6337726667	-0.0735509287	-0.9571377134	0.3122847430	-1.0557810599	-1.7295358929	-1.5907025653	-0.6973137217	-1.1458819204	0.1849092880
25	69	-428.7746089293	3.6380446696	-3.9980579270	-4.4748552115	0.3074571635	2.6883305014	0.0097185083	1.3185241054	-1.6942765683	2.1696722044	-0.7549403990	0.6855505540	1.0641016960	1.0795005141	1.1009004879	-1.0870168047	1.4429867562	1.6634995396	-0.0680891593	0.3513494457	1.9418016807	0.7167938469	-1.5288777983	-0.1555730377	0.0784147036	1.4656361079	-0.8897547601	-0.3541876484	-0.9169223625	-0.7170392561	1.5964650958	-0.5246874599	-0.7334352081	0.5082020889	2.3890933916	-3.4827614350	-0.2370141267	-2.7742272736	0.2297054953	1.0870080073	1.3500268176	0.1474722907	0.1392164779	-0.9425924450	0.2359787925	-0.7676672996	-1.4303492063	-1.7125306771	-0.6115099551	-1.3188295748	0.1508013638
26	70	-427.5893821448	3.5164921719	-3.9575964183	-4.2337661193	0.7617231179	2.8801590382	0.1686906810	1.2262399664	-1.9600478926	2.4203430106	-0.6943331228	0.6037672079	0.9391201140	0.9926109402	1.0789589025	-0.9909866828	1.2346721445	1.5571060905	0.0280848635	0.4184515135	2.2181573431	0.9584721943	-1.3234712664	0.1195084674	-0.0454985168	1.4439565083	-1.0748568527	-0.2066324522	-0.7317507931	-0.7925715194	1.4423650588	-0.6223203433	-0.5706331790	0.2932976674	2.4897493074	-3.4272290240	-0.3837640300	-2.6429104266	0.0712824227	0.9045393039	1.3263339892	-0.0806107396	0.0935527201	-1.1433665587	0.4476132470	-1.0940810559	-1.3148056823	-1.8001565458	-0.6876641862	-1.2670039177	0.1821594676
27	72	-426.9923325882	3.7606207172	-4.3865881926	-4.1528873667	0.5244563523	2.7368396096	0.3720685887	1.4553672884	-2.2780220717	2.5842284184	-0.7796758447	0.2474089371	0.8870593188	0.8011051881	1.3794742666	-0.6898757691	1.0189485142	1.4384257542	-0.2879808720	0.4757329072	2.3039027093	0.8144332245	-1.2375000366	-0.0323550660	0.0917763830	1.1876103714	-0.8564729430	-0.6031397721	-0.8480040425	-0.4692904390	1.3904803625	-0.9879933256	-0.7128963545	0.2858971594	2.5013302873	-3.5566891366	-0.4457452971	-2.5975844624	-0.0486432285	1.0711955102	1.1514395989	-0.0032527888	0.1636970101	-1.1997294375	0.3861263656	-1.0926417591	-1.1061710819	-1.6501188747	-0.8719259585	-1.2862690087	-0.0536672238
28	75	-425.2277730224	3.9596376657	-4.3639754447	-4.0975615227	0.3190056208	2.3886095850	-0.0029341067	1.4810525779	-2.0584429280	2.5739598457	-0.6237465174	0.3494668553	1.3002796505	0.4084488150	1.3612854663	-0.8937404695	1.0390877749	1.2962068414	-0.1934630202	0.5693569816	2.2996003328	0.9457786139	-0.9835330958	-0.0052175541	0.0787544203	1.2570143362	-0.9711095987	-0.7445721186	-1.4386283047	-0.2421925858	1.3550534328	-0.7358837962	-1.1208680562	0.3485009594	2.3225962265	-3.4781569439	-0.3921427196	-2.3317248349	-0.0806162049	1.0916826949	0.7167401482	0.2876381994	0.0950740537	-1.4096511164	0.4599803048	-1.2702785128	-0.8773886549	-1.7248723711	-0.8641165685	-1.1368029660	-0.0661982285
29	76	-427.5577686676	4.0488806680	-4.6436860958	-4.2388657960	0.7200603054	2.2976872554	-0.0633129458	1.6849540292	-1.9850867706	2.2006740518	-0.6465170632	0.3268433837	1.5733461048	0.0467842771	1.3819409911	-0.4359218381	1.4774581948	1.3795284958	-0.1921305100	0.8155161491	2.2641940859	1.0473755429	-0.8023603875	0.0969403777	-0.0495627298	1.3117679991	-0.7436517352	-0.6287442030	-1.3644568873	-0.3382015348	1.3442008397	-0.8105722457	-1.0009936954	0.1749409931	2.2647859155	-3.3847457906	-0.4109063716	-2.1662774118	-0.2813414755	1.2429315391	0.9401799518	0.0135281891	0.3196577348	-1.4162766560	0.5504041996	-1.0098618865	-1.1039849562	-1.4774002877	-0.7832142400	-0.9815854411	0.0472064106
30	77	-428.0753682484	3.9082111724	-5.5249982005	-4.1234597415	0.4032845907	2.3752710804	0.0201651077	1.7690072174	-2.2152561575	2.1909183588	-0.5070879334	0.4537640118	1.5285905821	-0.3070125795	1.4494252760	-0.5568852992	1.3735395092	1.4163274782	-0.1391661831	0.5734981874	2.2832860867	1.1567015457	-0.6910678353	0.3948944325	-0.2038043142	1.1942869737	-0.8985424399	-0.6802643177	-1.0311694486	-0.2872368227	1.5987000691	-0.8973629205	-1.1821014397	-0.0193052430	1.9997030256	-3.5546010346	-0.2908473298	-1.9981418382	-0.5272011584	1.2630592229	0.9783304198	0.4927616810	0.0837241394	-1.4902583858	0.4096894299	-1.1557207809	-1.3334904623	-1.1343357082	-0.5354509882	-0.5009391553	0.1721898809
