accepted_idx	post_warmup_idx	logp	nu_0	nu_1	nu_2	nu_3	nu_4	nu_5	nu_6	nu_7	nu_8	nu_9	nu_10	nu_11	nu_12	nu_13	nu_14	nu_15	nu_16	nu_17	nu_18	nu_19	nu_20	nu_21	nu_22	nu_23	nu_24	nu_25	nu_26	nu_27	nu_28	nu_29	nu_30	nu_31	nu_32	nu_33	nu_34	nu_35	nu_36	nu_37	nu_38	nu_39	nu_40	nu_41	nu_42	nu_43	nu_44	nu_45	nu_46	nu_47	nu_48	nu_49
1	2	-436.7786506813	1.2534367628	5.1673609429	-5.5059051607	-0.2014411416	0.4673199472	1.3585452520	2.8429950852	-2.3554552402	0.5261991091	0.4873282534	-1.1097683177	-1.5058200984	0.5388872293	0.3055487588	-0.5096486452	1.3438186945	-0.9078528880	0.4242057108	2.9216947567	0.5710553695	0.9171500134	0.2381776483	0.2658674063	-0.5099835493	0.2171106483	-0.7641495915	1.1128844944	1.5840214221	-1.0767681454	2.3658173162	-0.3460109883	0.8034297064	-0.5271601475	0.1688550649	0.6699617433	-0.5429197810	-1.6578284010	0.5253519424	-0.3196453407	1.8824831338	0.9607329099	0.9776774364	-0.3938500100	1.6977064921	-0.8978097021	-0.1757761179	-2.0883368522	1.7556025079	-1.9466080015	-2.2558765217
2	7	-436.3016382561	1.3070960065	5.2539308556	-5.6585788547	-0.1364871422	0.6540644965	1.5331745244	2.8986082215	-2.4175850510	0.4084552496	0.4120973242	-1.2110636105	-1.5483041372	0.5023232816	0.1638035148	-0.6217109534	1.2793888185	-1.0885917451	0.8246921461	3.0058269440	0.4194670751	0.9577849422	0.6147841755	0.0399299271	-0.4665896066	0.0797648603	-0.5171312264	1.2499811020	1.3578665743	-1.4123645282	2.4035507586	-0.5775838969	0.6908089831	-0.6104695172	0.3450181327	0.3725538905	-0.4445875973	-1.7209863553	0.7507191779	-0.3000154788	1.9587573607	0.7530125582	1.0968154604	-0.2135996573	1.9065394735	-0.8857724370	0.0202542962	-1.7726011026	1.6776136651	-2.0006586684	-1.9980731655
3	10	-438.8454298815	1.4287623380	5.2219920573	-5.7259187335	-0.3728585484	0.1156706073	1.4021493697	2.8771351281	-2.4065854002	0.3490397512	0.2941729843	-1.2204241686	-1.2719868659	0.5049299377	0.3918026301	-0.6659997528	1.2049346140	-0.8902766671	0.4572406988	3.2173654100	0.6075875828	1.2929497578	0.5302276400	-0.0685343944	-1.1346816352	-0.0456180301	-0.7563193338	1.4928278288	1.3502414730	-1.2040311654	2.3356611267	-0.5474072366	0.4665740017	-0.6182986145	0.2966236154	0.4274219577	-0.6293877415	-1.8147158721	0.6810532182	0.0924177889	2.0343232588	0.8239558710	1.1628592953	-0.1460555377	1.6917654337	-1.0468790097	0.3098853412	-1.8929405913	1.9300555095	-2.2513984929	-1.9525296287
4	12	-438.4821495326	1.4776668510	5.3783513345	-5.5946756051	-0.4848122084	0.0892564811	1.6562548532	2.8535480886	-2.4368687992	0.3179843683	0.2918969803	-1.5160173463	-1.2333878420	0.2984248213	0.4651810990	-0.5804652341	1.3711278002	-1.0160003156	0.1828750871	2.7609609907	0.5730050262	1.2333944125	0.1678479980	-0.0954573421	-1.2715697333	0.2186209169	-0.5563260445	1.3197986489	1.3933632079	-0.9889647482	1.9849812328	-0.5622904214	0.7551640716	-0.3794810137	0.5373364057	0.3717787826	-0.6976817298	-1.9875592181	0.6411623293	-0.3090005461	1.8252682207	0.8110052390	1.0829571604	0.0020060134	1.6162443371	-1.0184017956	0.3979286403	-2.0054046659	2.2908215076	-2.2341701209	-1.7758759078
5	13	-436.6397323251	1.2846963270	5.3861778477	-5.5822019077	-0.2329116766	0.0180795938	1.5269623622	2.8013895350	-2.6321109746	0.4502897151	0.2282873788	-1.3511567373	-1.3595128035	0.1980205063	0.6311847560	-0.4256251448	1.6276156160	-0.5523283801	0.3533364769	2.5645336464	0.4644217681	0.8740036106	-0.1039352198	0.0748673264	-0.8208964966	0.3119051390	-0.4425955086	1.4011536404	1.3326255102	-0.6893851792	2.1872187130	-0.4048395974	0.7412187773	-0.1756758938	0.5464457269	0.2620033741	-1.0392700842	-1.8074600126	0.9117833491	-0.2819007062	2.0383188705	0.6505711962	1.1367952513	0.0142402876	1.6098473523	-1.0477631746	0.5470001662	-1.8353362475	2.3968252312	-2.2050266859	-2.1305650948
6	14	-437.0458884207	1.2695385055	5.2651859962	-6.0975141062	-0.1948171396	-0.2691425415	1.6253099160	2.8627264988	-2.6112731866	0.6745768159	0.1507263510	-1.6211665239	-1.5701114484	0.2420311680	0.8296733562	-0.7064678940	1.3182683443	-0.7238297826	0.2280546970	2.3434712167	0.3365536855	0.7838342237	-0.3914397131	0.2206654636	-0.6302339253	0.3987640816	-0.3598483434	1.5771397708	1.7668518831	-0.6965308222	2.3070933905	-0.4644132641	0.7997138633	-0.1748577380	0.3977146593	0.3628522904	-0.9793664620	-2.0472362014	0.8683448936	-0.3175860810	1.9484552112	0.4634256670	1.0460097148	-0.1446344405	1.5006094183	-1.0669760459	0.8835862681	-1.6629803596	2.3041001971	-2.2835266346	-2.0758075626
7	16	-436.6332240812	1.4187633766	4.9483198508	-6.0652570860	-0.1398218651	-0.5631200289	1.4573042891	2.8920033185	-2.7425783920	0.7561797762	0.1925489909	-1.4772863745	-1.7305173254	0.3973393099	0.8708972887	-1.0719202630	1.6654220067	-0.8856779275	0.3174973681	2.6054898418	0.5242769369	0.3806554777	-0.3296443850	0.0846658824	-0.7683398573	0.5978940269	-0.2154079151	1.3377762595	1.8587232057	-0.6313381138	1.8709350881	-0.5044632300	0.7829070954	-0.1489672168	0.4545216811	0.4189183304	-0.5771759567	-2.3085024268	0.6293868243	-0.4058478873	1.9770474016	0.8808081283	1.1066217379	-0.0214873408	1.4134656095	-1.2003499469	0.5811635494	-1.8158421187	2.3578845056	-2.3484301575	-2.1700243017
8	22	-435.2085073064	1.5293716780	4.8138106304	-5.6937633863	-0.1233907238	-0.7943071349	1.4071715015	3.1459506059	-2.3082634555	0.7186590541	0.0768763665	-1.4215411010	-1.6452928100	0.1665724143	1.0463306162	-1.2505277311	1.6763260758	-1.0793340771	0.3259210959	2.6851256192	0.2380292437	0.5557236073	-0.3862017833	-0.0408153151	-0.5403145478	0.5342607938	-0.2360269778	1.1246237960	1.9709775132	-0.4616536221	2.0304207751	-0.4345392596	0.9135103427	0.1464753736	0.5381592225	0.6384257418	-0.8184292709	-2.2420457968	0.8744726585	-0.0629463052	1.7082563517	1.0795454287	1.0714836152	-0.4019142274	1.5701779830	-0.9568681708	0.3798142556	-1.9934435731	2.3374367732	-2.3682662002	-2.2866788417
9	24	-434.3157289379	1.4941220583	4.8229639687	-5.7270329249	-0.0195963168	-0.7065042717	1.0758480709	3.2368667555	-2.1619212318	0.5819936595	0.0823474530	-1.3002399984	-1.7330845575	-0.0158949243	0.8266825091	-1.4220607610	1.5648702709	-1.2708167707	0.6394190273	2.6062023333	0.1575074035	0.5183116672	-0.4256637087	0.1392545983	-0.7253648219	0.4076272551	-0.3447424093	1.0532737624	1.8181535681	-0.4834893670	2.2507963783	-0.2972222574	0.5147213394	0.5929616596	0.4744319571	0.3113296204	-0.8120988744	-2.2664645546	1.0754117837	-0.1832269798	1.4031458186	1.0920327852	0.9917325825	-0.2850330116	1.6335099649	-1.3858817989	0.3155426523	-2.1194094190	2.4144413272	-2.4150070399	-2.3757522794
10	25	-432.4647257618	1.4325991296	4.9407503129	-5.7274956884	0.0770527365	-0.7033319547	0.8990756253	3.1677529825	-1.7886356409	0.4501215614	0.3450275880	-1.2312614857	-1.9143263605	0.2842021633	0.8173708852	-1.4711543104	1.4085408963	-1.5606737501	0.3939453792	2.5635800739	0.2005096634	0.6350306647	-0.1730615196	0.5151550890	-0.8221156056	0.3118915764	-0.2033586545	0.8243391654	1.9208256180	-0.6036805409	1.9743989342	-0.2092332850	0.7338952520	0.4355111947	0.5380626854	0.4276214129	-0.7865730521	-1.9619431323	1.0924611686	-0.1274452115	1.5031760006	0.8696697247	1.0976776731	-0.5697555403	1.4812653363	-1.3667912813	0.4857974336	-1.9511379128	2.4201614761	-2.5951715018	-2.7326291840
